,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Static_Diff_Long_5b7,29/11/2021,Long,Static_Diff,B,5,0,0,0,0,180,16,2,7
Fluctuating_Synchronous_Short_1a7,29/11/2021,Short,Fluctuating_Synchro,A,1,0,0,5,0,380,4,2,7
Fluctuating_Synchronous_Short_1b7,29/11/2021,Short,Fluctuating_Synchro,B,1,0,0,5,1,333.3333333,13,4,7
Fluctuating_Synchronous_Short_2a7,29/11/2021,Short,Fluctuating_Synchro,A,2,0,2,0,5,360,50,4,7
Fluctuating_Synchronous_Short_2b7,29/11/2021,Short,Fluctuating_Synchro,B,2,0,1,0,1,330,100,2,7
Fluctuating_Synchronous_Short_3a7,29/11/2021,Short,Fluctuating_Synchro,A,3,0,0,0,1,580,14,3,7
Fluctuating_Synchronous_Short_3b7,29/11/2021,Short,Fluctuating_Synchro,B,3,0,0,0,5,820,16,1,7
Fluctuating_Synchronous_Short_4a7,29/11/2021,Short,Fluctuating_Synchro,A,4,9,0,0,3,560,230,2,7
Fluctuating_Synchronous_Short_4b7,29/11/2021,Short,Fluctuating_Synchro,B,4,16,1,0,5,700,110,3,7
Fluctuating_Synchronous_Short_5a7,29/11/2021,Short,Fluctuating_Synchro,A,5,70,0,0,60,320,100,1,7
Fluctuating_Synchronous_Short_5b7,29/11/2021,Short,Fluctuating_Synchro,B,5,50,0,0,50,370,130,0,7
Fluctuating_Synchronous_Long_1a7,29/11/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,450,150,4,7
Fluctuating_Synchronous_Long_1b7,29/11/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,733.3333333,200,7,7
Fluctuating_Synchronous_Long_2a7,29/11/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,740,310,17,7
Fluctuating_Synchronous_Long_2b7,29/11/2021,Long,Fluctuating_Synchro,B,2,0,0,0,1,460,120,4,7
Fluctuating_Synchronous_Long_3a7,29/11/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,700,220,10,7
Fluctuating_Synchronous_Long_3b7,29/11/2021,Long,Fluctuating_Synchro,B,3,0,0,0,0,900,500,7,7
Fluctuating_Synchronous_Long_4a7,29/11/2021,Long,Fluctuating_Synchro,A,4,0,1,0,0,760,120,6,7
Fluctuating_Synchronous_Long_4b7,29/11/2021,Long,Fluctuating_Synchro,B,4,0,0,0,0,380,60,5,7
Fluctuating_Synchronous_Long_5a7,29/11/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,600,150,1,7
Fluctuating_Synchronous_Long_5b7,29/11/2021,Long,Fluctuating_Synchro,B,5,0,0,0,1,6100,140,2,7
Constant_Short_1a10,02/12/2021,Short,Constant,A,1,0,0,0,0,7200,320,2,10
Constant_Short_1b10,02/12/2021,Short,Constant,B,1,0,0,0,0,1200,520,2,10
Constant_Short_2a10,02/12/2021,Short,Constant,A,2,0,0,0,0,1600,1200,2,10
Constant_Short_2b10,02/12/2021,Short,Constant,B,2,0,0,0,0,1800,800,3,10
